OrganizationID;"Organization Name";"Headquarters Location";LinkedIn
manual-blockchain;"Manual Blockchain";"São Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Big Data, Blockchain, Cloud Computing, Internet of Things, Machine Learning"
mão-na-roda-serviços;"Mão na Roda Serviços";"São Paulo, Sao Paulo, Brazil";"Home Decor, Home Services, Internet"
mãos-à-obra;"Mãos à Obra";"Brasil, Sao Paulo, Brazil";"Apps, Computer, Construction, Mobile, Software"
mapa-da-cacha-a;"Mapa da Cachaça";"São Paulo, Sao Paulo, Brazil";"Food and Beverage, Mapping Services, Tourism"
mapear-com-drones;"Mapear com Drones";"Bela Vista, Sao Paulo, Brazil";"Drones, Industrial Engineering, Mapping Services"
maply-tecnologia;"Maply Tecnologia";"Barueri, Sao Paulo, Brazil";"Artificial Intelligence, Drones, Information Technology, Intelligent Systems, Machine Learning"
mapspet;mapspet;"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, Internet, Mobile Apps, Pet"
máquina-de-reservas;"Máquina de Reservas";"Porto Alegre, Rio Grande do Sul, Brazil";"Advertising, Business Intelligence, E-Commerce, Information Technology, Marketing"
mar-ventures;"MAR ventures";"São Paulo, Sao Paulo, Brazil";"Quantum Computing"
marerua-ltd;"Marerua Ltd";"São Paulo, Sao Paulo, Brazil";"Customer Service, E-Commerce, Emerging Markets, Fashion, Infrastructure, Lifestyle, Logistics, Marketing Automation, Mobile"
marfin;Marfin;"Curitiba, Parana, Brazil";"Advertising, Content Marketing, Digital Marketing, Email Marketing, Internet, Professional Services, Sales Automation"
mark-2-market;"Mark 2 Market";"São Paulo, Sao Paulo, Brazil";"Accounting, Finance, FinTech, Software"
marketic;Marketic;"São Paulo, Sao Paulo, Brazil";"Marketing, Marketing Automation, Small and Medium Businesses"
marketing-de-conversao;"Marketing de Conversao";"Belo Horizonte, Minas Gerais, Brazil";"Advertising, Market Research"
marketsales;MarketSales;"São Paulo, Sao Paulo, Brazil";"Commercial, Outsourcing, Sales"
marketup;MarketUP;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, Computer, Internet, Local Business, Software"
marmotex;Marmotex;"São Paulo, Sao Paulo, Brazil";"Food and Beverage, Logistics, Restaurants, Snack Food, Subscription Service"
marq-systems;"MarQ Systems";"Barueri, Sao Paulo, Brazil";"Information Technology, Pet, Wearables"
marttech-desenvolvimento-de-software;"Marttech - Desenvolvimento de Software";"Martinópolis, Sao Paulo, Brazil";"Consulting, Information Technology, Internet, Software, Web Development"
maskot;Maskot;"São José do Rio Prêto, Sao Paulo, Brazil";"Internet, Pet, Scheduling, Veterinary"
master-musica;"Master Musica";"Brasília, Rio Grande do Norte, Brazil";"E-Learning, Music Education, Professional Services"
master-solar-energy;"Master Solar Energy";"Paraná, Espirito Santo, Brazil";"Energy, Renewable Energy, Solar, Sustainability"
mastertech;MasterTech;"São Paulo, Sao Paulo, Brazil";"Information Technology, Marketing, Training"
matchbox-e6ab;Matchbox;"São Paulo, Sao Paulo, Brazil";"Human Resources"
matere-educacional;"Matere Educacional";"Uberlândia, Minas Gerais, Brazil";"Consumer Goods, E-Learning, EdTech, Education, Software"
matiplus;Matiplus;"Mariana, Minas Gerais, Brazil";Payments
mattje-consultoria;"Mattje Consultoria";"São Leopoldo, Rio Grande do Sul, Brazil";"Business Development, E-Commerce, Management Consulting"
maturijobs;MaturiJobs;"São Paulo, Sao Paulo, Brazil";"Employment, Human Resources, Recruiting"
mauro-sistemas;"Mauro Sistemas";"Rio De Janeiro, Rio de Janeiro, Brazil";"CRM, Information Technology, Software, Software Engineering"
maven-inventing;"Maven Inventing";"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, Computer, Digital Signage, Publishing, Software"
mawon;Mawon;"Rio De Janeiro, Rio de Janeiro, Brazil";"Social Entrepreneurship, Sustainability"
max-benefícios;"Max Benefícios";"São Paulo, Sao Paulo, Brazil";"B2B, E-Commerce, Employee Benefits, Financial Services, FinTech, Food and Beverage, Internet, Payments, Small and Medium Businesses"
máxima-sistemas;"Máxima Sistemas";"Goiânia, Goias, Brazil";"Logistics, SaaS, Sales, Software"
maxinst;Maxinst;"Belo Horizonte, Minas Gerais, Brazil";"Asset Management, Information Services, Information Technology"
maxipago;Maxipago;"Barueri, Sao Paulo, Brazil";"Internet, Payments"
maxmilhas;MaxMilhas;"Belo Horizonte, Minas Gerais, Brazil";"Collaboration, E-Commerce, Internet, Ticketing"
maya-2;Maya;"São Paulo, Sao Paulo, Brazil";Internet
mba60;MBA60;"São Paulo, Sao Paulo, Brazil";"Content, Training, Video"
mblabs-tecnology;"MBLabs Tecnology";"São Paulo, Sao Paulo, Brazil";Software
mbw-digital;"MBW Digital";"São Paulo, Sao Paulo, Brazil";"Advertising, Construction, E-Commerce, Marketing"
mconf-technology;"Mconf Technology";"Porto Alegre, Rio Grande do Sul, Brazil";"Information Technology, Video, Video Conferencing"
mdts-consultoria;"MDTS Consultoria";"São Paulo, Sao Paulo, Brazil";"Consulting, Small and Medium Businesses"
me-ajuda-limpeza;"Me Ajuda Limpeza";"Salvador, Sao Paulo, Brazil";Marketplace
me-atende;"Me Atende";"Brasil, Sao Paulo, Brazil";Apps
me-conheça;"Me Conheça";"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Information Technology"
me-passa-aí;"Me Passa Aí";"Rio De Janeiro, Rio de Janeiro, Brazil";"Artificial Intelligence, EdTech, Higher Education, Video"
me-salva;"Me Salva!";"Porto Alegre, Rio Grande do Sul, Brazil";"EdTech, Education, Service Industry"
mecasar;MeCasar;"Curitiba, Parana, Brazil";"Event Management, Marketplace, Online Portals, Wedding"
mecasei-com;Wedy;"São Leopoldo, Rio Grande do Sul, Brazil";"Apps, E-Commerce, Event Management, Marketplace, Wedding"
medbolso;MedBolso;"Belém, Paraiba, Brazil";"Information Services, Medical"
medcloud;MedCloud;"Paraná, Espirito Santo, Brazil";"Health Care, Health Diagnostics, Information Technology"
meddit;Meddit;"Rio De Janeiro, Rio de Janeiro, Brazil";"Personal Health, Software"
media-education;"Media Education";"São Paulo, Sao Paulo, Brazil";Events
media-glass;"Media Glass";"Rio De Janeiro, Rio de Janeiro, Brazil";"Augmented Reality, Computer, Google Glass, Information Technology, iOS, Mobile, Mobile Apps, Software, Wearables"
media-portal-1d10;"Media Portal";"São Paulo, Sao Paulo, Brazil";"E-Learning, Information Technology"
mediação-online;"Mediação Online";"São Paulo, Sao Paulo, Brazil";"Consulting, E-Commerce, Internet, Law Enforcement, Legal"
mediação-online-startup-brasil-ltda;"Mediação Online Startup Brasil Ltda";"Matias Barbosa, Minas Gerais, Brazil";"Consulting, E-Learning, Education"
mediactives;Mediactives;"São Paulo, Sao Paulo, Brazil";"Advertising, Content, Marketing"
medical-lex;"Medical Lex";"Florianópolis, Santa Catarina, Brazil";"Consulting, Knowledge Management, Professional Services, Training"
medical-sales-hub;"MEDICAL SALES HUB";"Porto Alegre, Rio Grande do Sul, Brazil";"Advertising, Health Care, Hospital, Marketing, Sales"
medicinia-atividades-de-internet-ltda;Medicinia;"São Paulo, Sao Paulo, Brazil";"Communications Infrastructure, Emergency Medicine, Health Care, Medical, Telecommunications"
mediclick-s-a;Mediclick;"Rio, Rio de Janeiro, Brazil";"Health Care, Information Technology, Medical"
medida-saúde;"Medida saúde";"São Leopoldo, Rio Grande do Sul, Brazil";"Fitness, Health Care, Information Technology, Mobile, Professional Services, Wellness"
medroom;MedRoom;"São Paulo, Sao Paulo, Brazil";"Education, Health Care, Virtual Reality"
medsoftware;MEDSoftware;"Uberlândia, Minas Gerais, Brazil";"Health Care, Information Technology, Internet, SaaS, Software"
mee2see;Mee2See;"São Paulo, Sao Paulo, Brazil";"Advertising, Sports"
meeduca;MeEduca;"Maringá, Parana, Brazil";"E-Learning, EdTech, Education, Online Portals, Training"
meekalabs;MeekaLabs;"São Leopoldo, Rio Grande do Sul, Brazil";"Artificial Intelligence, Business Intelligence, Software"
meempresta;MEEmpresta;"Caxias Do Sul, Rio Grande do Sul, Brazil";"Developer Platform, Finance, FinTech, Lending, Peer to Peer"
meerkat-computer-vision;"Meerkat Computer Vision";"Porto Alegre, Rio Grande do Sul, Brazil";"B2B, Image Recognition, Machine Learning, SaaS, Software"
megasindico;Megasindico;"Tubarão, Santa Catarina, Brazil";"Online Portals, Real Estate"
meia-bandeirada;"Meia Bandeirada";"Brasil, Sao Paulo, Brazil";"Apps, Information Technology, Transportation"
meleva-is-a-transportation-application-for-passengers-and-drivers;"MeLeva App";"Rio De Janeiro, Rio de Janeiro, Brazil";"Apps, Internet, Transportation"
melhor-envio;"MELHOR ENVIO";"Pelotas, Rio Grande do Sul, Brazil";"E-Commerce, Freight Service, Logistics"
melhortaxa;Melhortaxa;"Brasil, Sao Paulo, Brazil";"B2C, Credit, Finance, Financial Services, Real Estate"
meliuz;Méliuz;"Belo Horizonte, Minas Gerais, Brazil";"Advertising, Coupons, Digital Media, E-Commerce, FinTech"
meloon;Meloon;"Palhoça, Santa Catarina, Brazil";Software
meltech-tecnologia;"Meltech Tecnologia";"Recife, Bahia, Brazil";"Information Technology, Internet, Outsourcing, Software, Telecommunications"
memed-2;Memed;"São Paulo, Sao Paulo, Brazil";"Health Care, Information Technology, Internet, Medical, Software"
mendelics-análise-genômica;"Mendelics Análise Genômica";"São Paulo, Sao Paulo, Brazil";"Emergency Medicine, Genetics, Health Diagnostics, Medical"
mendl;Mendl;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, E-Learning, EdTech"
menki-mobile;"Menki Mobile";"Campinas, Goias, Brazil";"Apps, iOS, Mobile Devices, Software"
mensmarket-com-br;"Men's Market";"São Paulo, Sao Paulo, Brazil";"Cosmetics, E-Commerce, Internet, Men's, Shopping"
mentalidade-empreendedora;"Mentalidade Empreendedora";"Cabo Frio, Rio de Janeiro, Brazil";"Business Development"
mentes-brilhantes-educação;"Mentes Brilhantes Educação";"Florianópolis, Santa Catarina, Brazil";"E-Learning, EdTech, Education, Internet, Software"
mentes-digitais;"Mentes Digitais";"Florianópolis, Santa Catarina, Brazil";"B2B, B2C, E-Learning, EdTech, Education"
menthor-co;Menthor.co;"Curitiba, Parana, Brazil";"Education, Higher Education, Information Technology"
mentorapp;MentorApp;"Petrópolis, Rio de Janeiro, Brazil";"E-Learning, EdTech, Mobile Apps"
mentores-io;Mentores.io;"Belo Horizonte, Minas Gerais, Brazil";"Big Data, EdTech, Recruiting"
menu-do-carro;"Menu do Carro";"São Paulo, Sao Paulo, Brazil";"Automotive, Digital Marketing"
menu-for-you;"Menu for You";"Rio De Janeiro, Rio de Janeiro, Brazil";"Food and Beverage, Mobile Apps, Restaurants"
menurápido;MenuRápido;"Curitiba, Parana, Brazil";"Internet, iOS, Restaurants"
menvia;Menvia;"São Leopoldo, Rio Grande do Sul, Brazil";"Hardware, Internet of Things, Mobile Apps, Software"
menyoo;Menyoo;"São Paulo, Sao Paulo, Brazil";"Analytics, Data Visualization, Location Based Services, Restaurants, Search Engine"
meraki-gastronomia-funcional;"Meraki Gastronomia Funcional";"João Pessoa, Bahia, Brazil";"B2B, B2C, Nutrition, Personal Health, Wellness"
mercadapp;Mercadapp;"Fortaleza, Mato Grosso do Sul, Brazil";"Apps, E-Commerce, Mobile Apps, Shopping"
mercado-bitcoin;"Mercado Bitcoin";"Brasília, Rio Grande do Norte, Brazil";"Bitcoin, FinTech, Internet"
mercadoedu;Mercadoedu;"Porto Alegre, Rio Grande do Sul, Brazil";"Analytics, Big Data, Information Technology, Software"
mercadolead;MercadoLead;"São Paulo, Sao Paulo, Brazil";"Business Development, Business Intelligence, Market Research, Search Engine"
mercateria;Mercateria;"Santa Maria, Rio Grande do Sul, Brazil";"E-Commerce, Internet, Online Portals"
mercatório;Mercatório;"Belo Horizonte, Minas Gerais, Brazil";"Credit, Finance, Financial Services, FinTech, Legal Tech"
mercattum;Mercattum;"Pato Branco, Parana, Brazil";"Consumer, Retail, Wholesale"
mercode;Mercode;"São Paulo, Sao Paulo, Brazil";"Apps, E-Commerce, Grocery"
mereo-consulting;"Mereo Consulting";"Belo Horizonte, Minas Gerais, Brazil";"Consulting, Management Consulting"
mesa-5;Mesa;"Recife, Bahia, Brazil";"Android, Mobile, Software"
mesa-adec;MESA;"São Paulo, Sao Paulo, Brazil";
mestre-search;"Mestre Search";"Porto Alegre, Rio Grande do Sul, Brazil";"Consulting, Marketing, SEO"
metacerta;MetaCerta;"Rio De Janeiro, Rio de Janeiro, Brazil";"Finance, Information Technology, Internet, Software"
methodus-tecnologia;"Methodus Tecnologia";"Itambaracá, Parana, Brazil";"Information Services, Information Technology, Infrastructure, Management Consulting"
mettzer;Mettzer;"Florianópolis, Santa Catarina, Brazil";"Education, Financial Services, Internet, Software"
meu-app;"Meu App";"São Bernardo Do Campo, Sao Paulo, Brazil";"Information Technology, Internet, Mobile, Software"
meu-câmbio;"Meu Câmbio";"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Finance, Financial Exchanges, Marketplace"
meu-cockpit;"Meu Cockpit";"São Paulo, Sao Paulo, Brazil";"Automotive, Mechanical Design, Mechanical Engineering"
meu-crediário;"Meu Crediário";"Rio Sul, Santa Catarina, Brazil";"Credit, Finance, Financial Services"
meu-imóvel;"Meu Imóvel";"São Paulo, Sao Paulo, Brazil";"Apps, Marketing, Real Estate"
meu-metro-quadrado;"Meu Metro Quadrado";"Florianópolis, Santa Catarina, Brazil";"Real Estate"
meu-móvel-de-madeira;"Meu Móvel de Madeira";"Rio Negrinho, Santa Catarina, Brazil";"E-Commerce, Retail"
meu-plano-de-negócios;"Meu Plano de Negócios";"Goiânia, Goias, Brazil";"Business Development, Corporate Training, Developer Platform, Training"
meu-primeiro-ape;"Meu Primeiro Ape";"Belo Horizonte, Minas Gerais, Brazil";"Apps, B2C, Legal, Legal Tech, Marketplace, Real Estate, Software"
meu-trampo;"Meu Trampo";"Rio De Janeiro, Rio de Janeiro, Brazil";"Consumer, Customer Service, Internet, Search Engine, Software"
meu-tudo;"Meu TUDO";"Ceará, Ceara, Brazil";"Apps, E-Commerce, Financial Services, Payments"
meubiz;meuBiZ;"Belo Horizonte, Minas Gerais, Brazil";"E-Commerce, Franchise, Internet, Point of Sale, Sales, Social Entrepreneurship, Software"
meucarrinho;MeuCarrinho;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Grocery, Internet, iOS, Software"
meucupom-com;MeuCupom.com;"Rio De Janeiro, Rio de Janeiro, Brazil";"Coupons, E-Commerce"
meucv-co;meucv.co;"São Paulo, Sao Paulo, Brazil";Recruiting
meudinheiro;MeuDinheiro;"Vila Velha, Espirito Santo, Brazil";"Education, Financial Services, FinTech, Personal Finance, Training"
meuingresso;meuingresso;"Belo Horizonte, Minas Gerais, Brazil";"Event Management, Events, Ticketing"
meujardim;MeuJardim;"Franca, Sao Paulo, Brazil";"Apps, GreenTech, Home and Garden, Mobile, Mobile Apps"
meumobi;MeuMobi;"Rio De Janeiro, Rio de Janeiro, Brazil";"Android, Internet, iOS, Software"
meuportifa;MeuPortifa;"São Paulo, Sao Paulo, Brazil";"Blogging Platforms, Content, Internet"
meuresíduo;meuResíduo;"Santa Cruz Do Sul, Rio Grande do Sul, Brazil";"Enterprise Software, SaaS, Waste Management"
meus-docs;"Meus Docs";"São Paulo, Sao Paulo, Brazil";"Document Management, Document Preparation, Web Apps"
meus-pedidos;Mercos;"Joinville, Santa Catarina, Brazil";"B2B, Mobile, SaaS, Sales Automation, Software"
mevow;Mevow;"Vitória, Piaui, Brazil";"B2B, B2C, Events, Marketplace, Tourism"
mformulanet;MFORMULANET;"São Paulo, Sao Paulo, Brazil";"Information Technology, Internet, Retail, Semantic Web, Software"
mgapress;MGAPress;"São Paulo, Sao Paulo, Brazil";"Advertising, E-Commerce, Internet"
mgn-technology;"MGN Technology";"São Paulo, Sao Paulo, Brazil";"Manufacturing, Wireless"
mgov;MGov;"São Paulo, Sao Paulo, Brazil";"CivicTech, Education, GovTech, Mobile, Social Impact"
mi4u;MI4U;"Ribeirão Prêto, Minas Gerais, Brazil";"Artificial Intelligence, Big Data, Health Care, Pharmaceutical"
midhaz;Midhaz;"Belo Horizonte, Minas Gerais, Brazil";"E-Commerce, E-Commerce Platforms, Marketplace, Retail"
midiacode;Midiacode;"São Paulo, Sao Paulo, Brazil";"Analytics, Apps, Cloud Computing, CMS, Mobile"
midialinks;Midialinks;"São Paulo, Sao Paulo, Brazil";"Advertising, Music, News, Publishing"
midiamobi;MidiaMobi;"São Paulo, Sao Paulo, Brazil";"Content, Internet, Marketing"
migre-seu-negócio;"Migre seu Negócio";"São Paulo, Sao Paulo, Brazil";"Small and Medium Businesses, Web Design, Web Development"
mikamai;Mikamai;"Itá, Santa Catarina, Brazil";"E-Commerce, Social Media, Web Development"
milagro-software;"Milagro Software";"São Paulo, Sao Paulo, Brazil";"Computer, Software"
milckchain;Milckchain;"Juiz De Fora, Minas Gerais, Brazil";"Agriculture, AgTech, Blockchain, Farming, Internet of Things, Product Management, Supply Chain Management"
milênio-bus;"Milênio Bus";"São Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Computer Vision, Internet of Things, Public Transportation"
milestone-digital;"Milestone Digital";"Rio De Janeiro, Rio de Janeiro, Brazil";"Artificial Intelligence, Product Design, Software"
milfont-universitas;"Milfont Universitas";"Fortaleza, Mato Grosso do Sul, Brazil";"Consulting, Information Technology, Internet, Software, Training"
milldesk;Milldesk;"Joinville, Santa Catarina, Brazil";"Information Technology"
mims-bags-made-it-myself;"Mims Bags - Made it Myself";"São Paulo, Sao Paulo, Brazil";"E-Commerce, Fashion, Shopping"
mind-lab;"Mind Lab";"São Paulo, Sao Paulo, Brazil";"E-Learning, Education, Mobile, Software, Training"
mind-pills;"Mind Pills";"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, Education, Information Technology"
mindminers;MindMiners;"São Paulo, Sao Paulo, Brazil";"Business Intelligence, Consumer Research, Digital Marketing, Digital Media, Market Research"
mindplugin-studio;"Mindplugin studio";"Araraquara, Sao Paulo, Brazil";"Advertising, Brand Marketing"
mineradorx;MineradorX;"Florianópolis, Santa Catarina, Brazil";"B2B, Information and Communications Technology (ICT), SaaS, Software Engineering, Telecommunications"
minery;Minery;"São Paulo, Sao Paulo, Brazil";"Cloud Infrastructure, Marketplace, Mineral, Mining, Mining Technology, Small and Medium Businesses, Trading Platform"
minestore-saas-commerce;"Minestore SaaS Commerce";"Curitiba, Parana, Brazil";"B2B, E-Commerce, E-Commerce Platforms, SaaS, Software"
